"Part";"Value";"Device";"Package";"Description";"LABEL";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"TP_SIGNAL_NAME";
"C1";"0.1 uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C2";"10 uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C3";"10 uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C4";"0.1 uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C5";"22 pF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C6";"10 uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C7";"22 pF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C8";"0.1 uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C9";"0.1 uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"J1";"USB-CON-5PIN-105017-0001";"USB-CON-5PIN-105017-0001";"USB-MICRO-MOLEX-105017-0001";"Molex Micro USB 105017-0001";"";"";"";"";"";"";"";
"JP1";"";"M02LOCK";"1X02_LOCK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";
"JP2";"";"M02LOCK";"1X02_LOCK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";
"JP4";"USB-A-H";"USB-A-H";"USB-A-H";"USB Connectors";"";"";"";"";"";"CONN-08367";"";
"JP5";"";"M01PTH";"1X01";"Header 1";"";"";"";"";"";"";"";
"JP6";"";"M02LOCK";"1X02_LOCK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";
"L1";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"R1";"110k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R2";"220k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R3";"NCP18XH103F03RB";"NCP18XH103F03RB";"0603-RES";"NTC 10K 1% B25/100 3455K";"";"";"";"";"";"";"";
"R4";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R5";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"RN1";"";"4R-NEXB38V";"EXB38V";"Array Chip Resistor";"";"";"";"unknown";"unknown";"";"";
"S1";"PTS645S??SMTR";"PTS645S??SMTR";"PTS645-SMD";"TACT SWITCH";"";"";"";"";"";"";"";
"S2";"SWITCH-MOMENTARY-2PTH";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";" SWCH-08441";"";
"T1";"";"MMBT2222ALT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";"";"";"";
"T2";"";"MMBT2222ALT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";"";"";"";
"TP1";"TPSQTP20SQ";"TPSQTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";
"U1";"SPX3819";"SPX3819";"SOT23-5L";"";"";"";"";"";"";"";"";
"U2";"ESP8266_ESP-12";"ESP8266_ESP-12";"ESP8266-ESP12";"";"";"";"";"";"";"";"";
"U3";"CH340G";"CH340G";"SOIC16";"";"";"";"";"";"";"";"";
"Y1";"";"CRYSTALSM49";"SM49";"CRYSTAL";"";"";"";"unknown";"unknown";"";"";
